IndustryCode,DataYear,Gamma,NPlants
20,1963,0.02319069128651704,36025.992085838865
2011,1963,0.03335555071684481,2619.9478446483377
2013,1963,0.010620698527273481,1279.9411809287071
2015,1963,0.03893771828735248,909.3647828887066
2021,1963,0.12986687542093023,768.6891187043317
2022,1963,0.15826146939077387,1133.7617636735285
2023,1963,0.053172212180876414,268.0452277835645
2024,1963,0.0003858554537128745,1020.9573425405069
2026,1963,0.002641253381844948,4630.4421746722655
2031,1963,0.08255691010824459,397.3709854530313
2032,1963,0.008592936049773807,169.74553716060984
2033,1963,0.03668212888732829,1385.9996274318817
2034,1963,0.39302131007236635,166.09620640422898
2035,1963,0.007866247298286128,553.3236646857335
2036,1963,0.06371608654943824,534.0124412870995
2037,1963,0.028173043146898082,613.2851933367659
2041,1963,0.02129346583863555,554.045626033323
2042,1963,0.0144333557265428,2533.2745508607577
2043,1963,0.21240754051085634,69.22198225084426
2044,1963,0.1610713488489382,77.47352510435674
2045,1963,-0.011973016715479368,150.0108105260235
2046,1963,-0.21204195429863035,54.4345846501506
2051,1963,-0.000057280913639112405,4819.3063861975315
2052,1963,0.005658943439903372,337.85983410389423
2061,1963,0.4069800225697248,96.70660203418822
2062,1963,0.19320154089738414,31.208753647731108
2063,1963,0.04030585993080597,178.87513061650992
2071,1963,0.027381163211067674,1125.0228135936684
2072,1963,0.21345085054799395,72.96519407543843
2073,1963,0.16084181467682346,60.123947536527396
2082,1963,0.0103589506947472,210.46232906785912
2083,1963,0.15037091538882852,98.95030425963489
2084,1963,0.34091475186643366,210.2269649196627
2085,1963,0.11862823256440831,110.8625889784825
2086,1963,0.0056410555712565905,3812.0188328412914
2087,1963,0.02035537512746067,471.11172241496786
2091,1963,0.10902562975787965,182.88632097759887
2092,1963,0.10587331396943524,98.39383865043095
2093,1963,-0.007702766859828283,42.94032282064736
2094,1963,-0.00007444100900072547,586.689789615753
2095,1963,0.023932664878920713,332.92375065933857
2096,1963,0.021725542762541475,107.211133999375
2097,1963,0.019573760048820756,1202.630819895526
2098,1963,0.00202481119358012,223.16274834936087
2099,1963,0.0012086921120136632,2087.8444031544254
20,1967,0.0025818130718098346,29706.745630126527
2011,1967,0.03325574132802443,2275.7394043075847
2013,1967,0.005923571964793673,1253.1469972892883
2015,1967,0.042869777235460246,781.4844807432626
2021,1967,0.1274905846819325,560.5758612858003
2022,1967,0.14957428110098317,967.5222982525214
2023,1967,0.038492212215556335,280.09646457922315
2024,1967,-0.0004823394310252027,782.6481825467625
2026,1967,0.003445029974207936,3218.4847971610316
2031,1967,0.07686025930420544,329.71808294930133
2032,1967,-0.029087264338555737,164.214243990573
2033,1967,0.037378711561609546,1152.6851190829125
2034,1967,0.21609479039606758,165.37199985475846
2035,1967,0.007546502291820176,466.1597096688375
2036,1967,0.05109668876247033,467.62638091428073
2037,1967,0.015982942082723193,587.16115526776
2041,1967,0.0156732264841535,465.3221739428636
2042,1967,0.016733937696553167,2198.903960465826
2043,1967,-0.054861179613144496,64.66378312609372
2044,1967,0.15978600895463796,50.22919444826138
2045,1967,-0.0025726980212170793,141.32660096148942
2046,1967,-0.002068683555093366,35.92795240393444
2051,1967,0.0002925171323457131,3555.35619341077
2052,1967,0.010452662333536446,310.88525746219796
2061,1967,0.3875367265533056,71.26395250127503
2062,1967,0.00037779497517751094,73.26130980374502
2063,1967,0.03302570463526999,75.96173265544462
2071,1967,0.030315282070416318,1092.356834394918
2072,1967,0.21690418555592644,68.95428139072035
2073,1967,0.4148409694453207,320.1848743355066
2082,1967,0.011216953691067382,178.13502458736815
2083,1967,0.14258796697249335,36.1078261686781
2084,1967,0.2780786552018009,185.70119736448333
2085,1967,0.12094093000306408,97.33969955387559
2086,1967,0.0049016749076901825,3197.459241131399
2087,1967,0.019005917371862625,376.7782653178191
2091,1967,0.1303564220482374,117.34841187173845
2092,1967,0.08908626658797392,83.20610460569893
2093,1967,-0.02522621233061806,57.46262720129741
2094,1967,0.0029099220934906424,581.9877251925933
2095,1967,0.029536897029003684,247.1937596639158
2096,1967,0.025973151701499934,94.93167385908755
2097,1967,0.016022978246059614,861.1129820054769
2098,1967,-0.010508706330010272,175.1757434313215
2099,1967,0.003499781415128605,1819.865535279461
20,1972,0.0029106907234041934,26019.99764961491
2011,1972,0.037139252609657156,2189.5654975708935
2013,1972,0.006850106400324448,1213.8346025476126
2016,1972,0.051669711448450575,425.87348671839953
2017,1972,0.0253967489735843,125.15372055137654
2021,1972,0.0810152767604706,231.6948214514138
2022,1972,0.13170694828455465,869.0990231558184
2023,1972,0.032844551504820366,286.46556648585045
2024,1972,0.0020994650309286143,646.9024990323164
2026,1972,0.0037197457823795474,2342.9019203374196
2032,1972,-0.004874597681085299,187.09153594361885
2033,1972,0.04567822797380529,915.5909206822486
2034,1972,0.15202008802696032,169.30217974937509
2035,1972,0.0033259059188679276,449.4763592126675
2037,1972,0.038964748754787795,205.62895121626647
2038,1972,-0.002096233330962227,408.73293456869624
2041,1972,0.018975597666175136,379.18544186292667
2043,1972,-0.05488320402454044,48.70830636594534
2044,1972,0.14609730061045298,46.01225392300443
2045,1972,0.00503202169617155,135.92108876084538
2046,1972,-0.0029235860178551754,41.604531980499104
2047,1972,0.01023894417853805,205.21616682258662
2048,1972,0.02032158585718368,2012.905338361728
2051,1972,-0.0006645489663252894,2997.8467816451935
2052,1972,0.01841509072585696,281.78762967335336
2061,1972,0.26693227874614045,59.07844964640096
2062,1972,0.0009520629554248174,371.252090910486
2063,1972,0.024862568296553752,100.7652590816891
